Ld_con TotalCurrent(sat_dgate_tspace19) X,Ld_con TotalCurrent(sat_dgate_tspace19) Y
0,3.33008e-11
0.017,5.41868e-11
0.034,8.77917e-11
0.051,1.41605e-10
0.068,2.27389e-10
0.085,3.63561e-10
0.102,5.7895e-10
0.119,9.18754e-10
0.136,1.45398e-09
0.153,2.29675e-09
0.17,3.62494e-09
0.187,5.72186e-09
0.204,9.04004e-09
0.221,1.43066e-08
0.238,2.26889e-08
0.255,3.60674e-08
0.272,5.74649e-08
0.289,9.17239e-08
0.306,1.46579e-07
0.323,2.34158e-07
0.34,3.73185e-07
0.357,5.93708e-07
0.374,9.4176e-07
0.391,1.48544e-06
0.408,2.32052e-06
0.425,3.57571e-06
0.442,5.40734e-06
0.459,7.98611e-06
0.476,1.14747e-05
0.493,1.60042e-05
0.51,2.16579e-05
0.527,2.84669e-05
0.544,3.64165e-05
0.561,4.5457e-05
0.578,5.55157e-05
0.595,6.65066e-05
0.612,7.83388e-05
0.629,9.09206e-05
0.646,0.000104164
0.663,0.000117984
0.68,0.000132303
0.697,0.00014705
0.714,0.000162158
0.731,0.000177568
0.748,0.000193224
0.765,0.00020908
0.782,0.000225089
0.799,0.000241212
0.816,0.000257415
0.833,0.000273665
0.85,0.000289934
0.867,0.000306197
0.884,0.000322431
0.901,0.000338616
0.918,0.000354735
0.935,0.000370771
0.952,0.000386713
0.969,0.000402546
0.986,0.000418261
1,0.000431109

