Tspace,Cgg,Cdg,Ilow ,Ihigh,Ieff,Cin,Cout,Ceff,Ceff with load,Tau,Tau with load
2,1.08E-15,-2.95E-16,0.000347,0.000934,0.0006405,3.01E-15,7.84E-16,4.5765E-15,1.04577E-13,3.57E-12,8.16E-11
6,1.09E-15,-2.25E-16,0.0002041,0.0007684,0.0006405,3.27E-15,7.84E-16,4.8372E-15,1.04837E-13,3.78E-12,8.18E-11
10,1.18E-15,-2.06E-16,0.0001378,0.0006881,0.00048625,3.27E-15,-6.75E-16,1.92E-15,1.0192E-13,1.97E-12,1.05E-10
14,1.02E-15,-1.49E-16,8.85E-05,5.89E-04,0.00041295,3.54E-15,-6.18E-16,2.304E-15,1.02304E-13,2.79E-12,1.24E-10
18,9.81E-16,-1.45E-16,3.83E-05,4.98E-04,0.00033875,3.06E-15,-4.47E-16,2.166E-15,1.02166E-13,3.20E-12,1.51E-10
22,9.26E-16,-1.41E-16,1.95E-05,4.48E-04,0.00026815,2.94E-15,-4.35E-16,2.073E-15,1.02073E-13,3.87E-12,1.90E-10
26,6.55E-16,-1.16E-16,1.96E-05,3.18E-04,0.00023375,2.78E-15,-4.23E-16,1.932E-15,1.01932E-13,4.13E-12,2.18E-10
30,4.30E-16,-9.96E-17,7.83E-06,1.31E-04,0.0001688,1.97E-15,-3.48E-16,1.269E-15,1.01269E-13,3.76E-12,3.00E-10
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,1.08E-15,2.95E-16,0.000347,0.000934,,,,,,
,,1.09E-15,2.25E-16,0.0002041,0.0007684,,,,,,
,,1.18E-15,2.06E-16,0.0001378,0.0006881,,,,,,
,,1.02E-15,1.49E-16,8.85E-05,5.89E-04,,,,,,
,,9.81E-16,1.45E-16,3.83E-05,4.98E-04,,,,,,
,,9.26E-16,1.41E-16,1.95E-05,4.48E-04,,,,1.00E-15,2.61E-16,
,,6.55E-16,1.16E-16,1.96E-05,3.18E-04,,,,,,
,,4.30E-16,9.96E-17,7.83E-06,1.31E-04,,,,,,
